GeneID	GSM3020197	GSM3020198	GSM3020199	GSM3020200	GSM3020201	GSM3020202	GSM3020203	GSM3020204	GSM3020205	GSM3020206	GSM3020207	GSM3020208	GSM3020209	GSM3020210
100287102	15	18	17	16	14	9	14	5	10	4	6	15	6	6
653635	475	367	390	499	344	286	456	271	351	297	406	395	307	292
102466751	29	26	19	35	23	18	34	17	30	15	26	24	17	25
107985730	1	0	1	0	2	0	1	3	2	1	0	3	1	1
100302278	1	0	1	0	0	0	1	1	0	0	0	0	0	0
645520	1	1	1	2	0	1	1	0	1	1	0	0	2	2
79501	0	4	0	0	0	0	0	0	3	1	0	0	1	0
100996442	163	79	142	223	88	98	161	91	165	77	119	114	73	85
729737	959	101	670	1292	223	308	783	346	481	371	377	212	250	422
102725121	12	16	23	18	10	4	21	4	11	9	9	18	3	12
102723897	396	364	442	495	350	313	529	292	363	376	396	417	320	371
102465909	11	6	7	10	7	4	12	4	9	6	7	7	6	7
107985721	1	1	1	2	2	2	1	10	0	0	1	4	1	4
112268260	54	46	25	57	29	40	64	42	19	16	20	33	21	22
729759	3	2	0	1	0	1	1	4	2	0	2	1	1	0
100132287	312	149	292	461	206	182	324	200	301	217	337	221	197	215
105378947	7	5	1	13	4	4	6	7	3	0	1	1	3	2
101928626	0	0	0	1	0	9	0	1	0	0	1	0	8	1
113219467	552	574	517	384	648	681	798	202	365	220	286	212	427	505
81399	28	16	5	14	12	9	16	54	18	2	21	21	6	24
100133331	230	155	220	301	178	162	248	160	226	222	224	219	195	178
107984841	122	80	110	90	91	73	107	59	93	94	99	112	84	81
107984847	149	68	125	114	90	88	147	70	119	101	120	104	111	94
107984849	61	26	57	59	26	24	59	25	42	38	47	32	34	38
100288069	179	147	206	226	189	134	194	156	160	163	174	248	164	152
105378580	234	197	214	132	231	194	231	149	146	119	110	128	163	159
400728	85	57	57	91	53	61	73	43	47	55	52	60	68	60
79854	40	52	52	49	52	56	51	53	53	64	41	33	73	45
643837	421	399	280	338	284	233	332	596	448	276	312	249	450	279
107984850	3	1	0	3	1	0	3	1	0	0	1	0	1	0
284593	1	1	3	2	4	0	2	0	1	2	5	1	3	2
284600	10	10	8	8	4	7	7	8	11	15	28	11	22	5
100130417	35	20	15	45	45	19	42	8	8	5	9	14	49	2
107985728	69	29	30	70	63	23	54	25	8	14	6	15	71	7
148398	203	150	133	266	170	139	128	309	181	166	204	164	345	122
26155	1395	981	1092	1451	911	1014	1093	2610	1470	1420	1759	1235	2072	1242
339451	152	110	150	163	126	85	139	152	213	185	84	135	124	76
84069	947	946	930	1186	1026	779	1116	249	150	291	217	134	209	174
84808	177	123	142	209	183	152	169	31	26	47	56	30	39	36
57801	223	235	252	326	288	206	239	820	352	241	338	369	511	238
9636	168	80	484	275	159	585	142	1792	629	2194	1131	347	2748	321
375790	1917	1695	2231	2878	1835	1655	2931	10406	8044	3823	4972	3582	5554	10360
100288175	85	70	50	66	84	108	84	44	10	16	26	10	12	16
112267874	201	143	133	177	235	210	173	23	13	37	32	20	13	18
105378948	259	234	228	288	275	332	304	41	27	28	33	40	17	16
401934	389	329	369	406	520	603	463	38	29	119	53	26	16	15
54991	248	227	264	310	266	157	254	292	171	251	228	214	280	208
254099	3	8	1	4	0	1	11	1	1	2	6	9	0	3
406984	12	12	4	31	10	7	18	7	9	5	3	5	19	12
406983	23	10	9	21	14	8	38	2	6	7	4	10	23	4
554210	23	20	21	32	19	21	36	5	9	16	5	18	32	3
100506376	14	10	17	18	11	12	14	6	10	12	20	10	11	2
254173	36	26	42	27	33	14	26	29	12	136	46	112	36	27
8784	37	37	64	42	55	35	66	175	65	353	67	243	137	87
7293	32	37	72	42	32	29	31	104	39	85	102	79	90	63
51150	1343	1240	1433	1673	1317	1254	1462	2750	2869	2156	2085	1769	2527	1823
126792	184	199	206	235	186	166	231	320	456	343	295	285	399	397
388581	48	12	18	32	20	8	35	40	107	155	27	23	28	239
118424	780	680	810	754	667	619	761	896	966	847	712	694	928	587
101928895	44	23	35	42	38	25	38	15	24	31	13	24	22	32
6339	58	51	43	66	69	41	71	54	54	292	30	46	49	46
116983	1520	1058	1343	1944	1499	986	1643	979	962	1076	867	780	1202	667
102465434	1	1	2	1	1	0	1	0	1	2	1	0	1	0
109623456	14	8	15	20	17	8	17	5	7	9	7	8	8	10
126789	275	206	249	357	254	251	287	294	229	199	191	192	264	139
54973	976	901	971	1221	960	845	1077	1183	1141	948	1026	806	1336	825
102465435	7	5	4	8	9	4	10	4	2	3	3	7	7	4
80772	831	628	679	946	809	643	850	514	429	388	469	316	464	257
83756	148	123	126	175	189	120	169	51	70	79	102	63	50	41
1855	1617	1489	1416	1826	1449	1300	1644	1277	1381	1167	1046	992	1271	825
102466740	4	4	6	3	4	6	4	1	4	3	3	2	2	2
54587	868	801	863	1251	960	845	1059	746	3185	1031	605	537	1060	1163
54998	855	699	799	967	780	633	721	1019	883	817	933	712	1027	598
81669	2784	2687	2740	3026	2781	2523	3322	2620	4384	3431	2581	2150	3600	2129
