GeneID	GSM741690	GSM741691	GSM741692	GSM741693	GSM741694	GSM741695
100287102	0	0	0	0	1	1
653635	27	31	25	36	46	43
102466751	0	0	0	0	1	0
107985730	0	0	0	0	0	0
100302278	0	0	0	0	0	0
645520	0	0	0	0	0	0
79501	0	0	0	0	0	0
100996442	6	7	4	10	13	6
729737	8	7	5	14	20	10
102725121	0	0	0	0	1	0
102723897	29	36	28	39	49	51
102465909	0	0	0	0	1	1
107985721	0	0	0	0	0	0
112268260	6	9	9	1	3	2
729759	0	0	0	0	0	0
100132287	5	2	1	14	10	8
105378947	1	3	2	0	0	0
101928626	0	0	0	0	0	0
113219467	270	409	234	241	403	399
81399	0	0	0	0	2	0
100133331	5	3	3	13	11	9
107984841	3	1	0	2	1	3
107984847	4	1	0	3	2	3
107984849	0	1	0	0	1	0
100288069	5	2	1	13	9	8
105378580	8	3	5	10	21	10
400728	2	4	0	4	3	3
79854	4	2	6	3	7	6
643837	18	18	9	37	42	66
107984850	0	0	0	0	1	0
284593	1	0	2	1	1	1
284600	0	0	0	1	1	1
100130417	3	6	5	0	0	0
107985728	13	4	3	0	1	2
148398	15	16	10	11	10	42
26155	87	119	61	154	170	424
339451	10	16	21	17	13	6
84069	105	106	83	23	24	24
84808	11	21	8	4	3	4
57801	37	81	50	67	72	60
9636	43	97	36	253	331	1016
375790	64	97	53	332	462	1403
100288175	11	21	13	1	2	3
112267874	45	67	88	2	7	3
105378948	77	96	81	2	9	6
401934	96	258	343	9	14	17
54991	28	20	21	32	28	47
254099	0	0	0	0	1	0
406984	0	0	0	0	1	0
406983	0	0	1	0	0	0
554210	0	2	1	0	0	0
100506376	1	0	0	1	0	0
254173	2	3	0	7	1	1
8784	3	7	7	99	43	122
7293	0	1	0	10	8	15
51150	10	4	0	65	27	107
126792	19	19	13	62	47	41
388581	1	2	0	17	6	38
118424	202	173	138	212	243	261
101928895	0	0	0	0	0	0
6339	5	18	4	6	8	15
116983	102	91	67	54	93	132
102465434	0	1	0	0	0	0
109623456	1	0	0	1	1	1
126789	129	103	112	48	54	57
54973	226	223	168	172	220	412
102465435	0	1	0	1	0	1
80772	129	143	147	49	61	72
83756	25	76	97	8	31	3
1855	200	233	212	120	167	273
102466740	0	1	0	0	0	0
54587	50	26	58	225	116	261
54998	270	271	266	232	286	409
81669	128	153	89	270	216	229
148413	52	46	29	64	58	78
55052	301	208	143	286	311	379
107984868	0	2	1	0	6	2
441869	40	37	28	50	113	23
105378585	4	4	3	6	8	0
643965	0	1	0	0	2	2
102724312	5	9	2	3	3	3
107985729	1	1	0	0	2	2
64856	100	154	92	160	106	137
219293	7	4	12	39	14	8
83858	11	30	10	32	58	77
55210	23	23	13	53	46	98
339453	2	0	1	3	0	4
29101	191	209	166	140	291	311
643988	78	33	24	41	52	65
105378586	7	2	1	1	2	2
142678	134	90	71	51	169	178
8510	1	1	1	8	8	20
984	2	8	3	25	12	37
728661	45	40	33	64	71	97
8511	0	1	1	5	5	15
728642	3	6	3	8	7	21
9906	22	24	25	30	54	79
112268218	2	2	0	2	2	3
65220	32	40	22	70	84	192
2782	1063	789	695	1744	1805	2595
105378949	3	2	0	2	3	5
163688	0	0	0	0	0	1
339456	8	4	2	4	6	3
85452	0	0	0	1	0	1
107984872	0	0	0	0	0	3
105378589	0	0	0	0	2	2
2563	1	1	0	1	1	15
105378590	0	0	0	0	0	0
105378591	0	0	0	0	0	1
5590	96	105	104	77	85	122
100506504	1	2	0	2	1	2
199990	47	45	39	81	88	80
112268219	8	4	8	5	12	17
105378593	0	0	0	1	1	0
6497	75	40	25	148	102	191
79906	7	5	6	5	17	29
100129534	0	1	0	4	0	4
11079	648	487	393	292	327	501
5192	111	100	92	97	148	160
9651	18	23	8	18	63	31
55229	50	40	31	75	95	108
388585	12	6	8	4	73	26
115110	8	3	4	7	4	31
8764	62	47	33	68	32	158
100996583	0	1	0	0	1	0
127281	51	24	30	37	67	173
79258	65	17	42	6	7	10
105378597	0	0	0	0	0	0
