GeneID	GSM6682838	GSM6682839	GSM6682841	GSM6682842	GSM6682843	GSM6682844
100287102	11	17	5	6	7	2
653635	270	323	233	100	163	113
102466751	16	11	16	6	7	6
107985730	0	1	1	0	1	0
100302278	0	0	0	0	0	0
645520	4	0	0	3	0	0
79501	0	0	2	0	0	0
100996442	142	99	326	78	63	69
729737	157	100	620	67	77	93
102725121	8	9	9	6	4	5
102723897	385	333	239	117	129	94
102465909	13	4	6	6	2	4
107985721	3	0	1	0	1	0
112268260	54	15	70	26	19	16
729759	3	1	4	1	1	2
100132287	373	258	509	107	122	175
105378947	2	1	18	1	1	1
101928626	2	1	2	0	3	3
113219467	351	371	601	236	142	662
81399	65	14	83	39	36	18
100133331	416	244	502	145	151	199
107984841	177	103	208	61	63	76
107984847	148	134	243	81	103	74
107984849	54	38	68	13	28	15
100288069	274	185	321	102	159	175
105378580	279	134	174	122	168	95
400728	91	64	69	35	66	21
79854	61	50	76	31	52	31
643837	613	399	213	290	346	231
107984850	1	13	1	3	2	0
284593	2	4	10	3	4	2
284600	29	52	0	0	27	5
100130417	24	1	0	23	16	12
107985728	19	1	0	16	23	15
148398	78	117	75	50	120	44
26155	804	1974	1229	313	387	419
339451	82	76	114	21	45	30
84069	8	19	3	5	5	3
84808	1	4	3	4	1	2
57801	43	124	12	18	20	18
9636	59	160	193	48	272	96
375790	589	2624	1383	672	1028	781
100288175	2	4	3	10	10	2
112267874	0	1	0	1	3	1
105378948	1	5	2	4	10	1
401934	0	0	0	2	0	0
54991	103	125	94	42	51	75
254099	16	12	0	12	6	0
406984	0	3	0	1	1	0
406983	0	0	0	1	0	1
554210	0	0	0	0	3	0
100506376	0	0	0	1	0	1
254173	0	1	0	0	0	2
8784	3	9	8	2	1	0
7293	12	11	23	6	4	3
51150	1383	3309	2152	962	1276	1400
126792	316	364	206	93	125	123
388581	2	2	4	2	6	5
118424	503	938	629	244	238	276
101928895	113	14	62	40	28	50
6339	231	19	71	70	72	106
116983	486	643	683	240	353	269
102465434	0	1	0	0	0	1
109623456	2	2	3	1	4	3
126789	115	251	148	29	58	40
54973	847	902	1210	339	381	410
102465435	1	5	4	1	1	2
80772	461	652	687	327	442	342
83756	40	27	51	30	23	27
1855	840	1356	1275	464	508	560
102466740	4	3	2	2	4	1
54587	393	79	40	114	161	182
54998	629	1318	872	437	430	520
81669	3842	2154	3403	1296	1743	1494
148413	345	311	350	226	216	198
55052	516	824	547	310	295	266
107984868	20	1	23	4	7	0
441869	211	5	161	12	11	5
105378585	13	5	8	2	0	0
643965	8	6	8	1	0	0
102724312	40	17	4	2	8	9
107985729	5	7	2	0	2	1
64856	775	1023	226	239	339	313
219293	237	30	18	52	91	18
83858	341	758	435	134	173	147
55210	275	1221	675	166	215	167
339453	7	16	9	1	1	3
29101	910	2115	1173	532	538	549
643988	5	4	6	1	5	4
105378586	1	0	0	0	0	1
142678	792	677	734	427	484	486
8510	36	21	14	16	27	13
984	672	849	791	288	270	264
728661	1779	1447	1371	721	851	704
8511	12	8	1	4	4	2
728642	641	679	784	301	342	281
9906	701	608	643	337	331	271
112268218	67	121	106	58	73	65
65220	1038	1618	1426	701	968	844
2782	2920	10464	5740	1579	1814	1719
105378949	30	52	34	5	15	11
163688	57	0	2	10	7	29
339456	40	31	16	42	42	32
